Soru	Şık A	Şık B	Şık C	Şık D	Şık E	Doğru Cevap
Evliya Çelebi, Seyahatname'sinin okuduğunuz bölümünde, Turhal ilçesi köylerinde tanık olduğu garip bir olayı anlatır. Bu olay aşağıdakilerden hangisidir?	Bakire bir genç kızın bir yavru fil doğurması	Çocukların bir günde yaptığı köprünün üzerinden Timur'un ordusunun geçmesi	Yaşlı bir adamın, işlettiği değirmenin taşını gün boyunca kendi koluyla çevirmesi	Ulu Cami sütunlarının her sayılışta farklı sayıda çıkması	Kızılırmak'tan tutulan bir balığın tüm Turhal halkını doyuracak büyüklükte oluşu	A
Okuduğunuz günlük örnekleri arasında, İstanbul'un kalabalığından şikâyet ederek "Ne oldu halkımıza Yarabbi?..." diyen, aşağıdakilerden hangisidir?	Ali Canip Yöntem	Oktay Akbal	Cemil Meriç	Şair Nigar Hanım	Necip Fazıl	D
Annesine yazdığı mektubunu okuduğunuz Çanakkale'de Şehit Olan Yedek Subay adayı Ethem'in gönüllü olarak askere gitmeden önceki uğraşı aşağıdakilerden hangisidir?	Hariciye Vekâletinde mütercimdir	Maarif Nezaretinde memurdur	Beyazıt Numune Mektebinde öğrencidir	Cerrahpaşa Tıp Fakültesinde öğrencidir	İstanbul Hukuk Fakültesinde öğrencidir	E
Orhan Asena'ya yazdığı ve okumanıza sunulan mektubunda Ceyhun Atuf Kansu, bütün sıkıntılarının kaynağı olarak aşağıdakilerden hangisini öne sürmektedir?	Onun bunun yetersiz, bilgisiz, dayanaksız yargılarını	Bulvarları dolduran afişlerde Orhan Asena adı altında bir oyun aramasını	Başkalarının yargısına çok önem vermesini	Bir yönüyle sanatçı, bir yönüyle de hekim olmasını	Az gelişmiş toplumun ürettiği yetersizler kadrosunu	D
Kızı tarafından kendisine yazılan mektubu okuduğunuz, 15 Temmuz 2016 darbe girişiminde şehit olan Sait Ertürk'ün görev ve unvanı aşağıdakilerden hangisidir?	1. Orduda Tuğgeneral	Muhafız Alayında Yarbay	3. Kolorduda Kurmay Albay	66. Tugayda Binbaşı	Özel Harekât Birliğinde Polis	C
Okuduğunuz biyografi örneğine göre Nazım Hikmet'in basılan ilk şiir kitabı aşağıdakilerden hangisidir?	Memleketimden İnsan Manzaraları	Gece Gelen Telgraf	Putları Yıkıyoruz	Güneşi İçenlerin Türküsü	Bir Ölü Evi	D
Yaşamın, birbirine eklemlenen kronolojik bir olaylar zincirinden oluştuğunu düşünen bir biyografi yazarının... (parça) "Ben Burdayım - Oğuz Atay'ın Biyografik ve Kurmaca Dünyası"başlıklı yazıdan alınan yukarıdaki parçanın sonunda ifade edilen zorluğun sebebi aşağıdakilerden hangisi olabilir?	Somut yaşam yolunda insanların sadece yazıyla sınırlı olmaması	Demokrasi geleneğinin tümüyle yerleşmemiş olması	Toplumumuzda sözlü kültür geleneğinin daha baskın olması	İnsanların arkalarında iz bırakma korkusu yaşamaları	Biyografileri mutlaka belgelere dayandırmanın gerekli olmaması	D
Oğuz Demiralp, "Öz Yaşam Öyküsü Toprak Olmak Dil Olmak" adlı yazısında çağdaş anlamda öz yaşam öykücülüğünün aşağıdakilerden hangisiyle başladığının söylendiğini aktarır?	Aziz Augustinus'un 4. yy'da yazdığı "İtiraflar"	Rousseau'nun "İtiraflar"ı	Georges Gusdorf'un "Auto-bio-graphie"si	Montaigne'in "Denemeler"i	Philippe Lejeune'un "Otobiyografi"si	B
Onun yapıtlarında sanatlı bir söyleyiş kaygısı yoktur. Şiirlerinde edebî sanatlara rastlamanız oldukça güçtür. Bu parçada konu edilen sanatçının şiirlerinde görülen en önemli özellik aşağıdakilerden hangisidir?	Akıcılık	Özgünlük	Duruluk	Yalınlık	Özlülük	D
"Bir yazıda en önemli şey lafın dümenidir. Lafın dümenine söz geçiremediği için yazarlar yazılarını çokluk yinelemeler, pusmalar, öğürmeler, kem kümler, aksırıklar, tıksırıklar ve bitmez tükenmez öykülerle doldururlar. Bunların arasında yazı sona erdiği hâlde, hızlarını alamayıp laf salatasını sürdürenlerin sayısı da oldukça kabarıktır." diyen kişinin yazarlık yönünden değerli bulduğu öge aşağıdakilerden hangisidir?	Ayrıntılar	Düşünceler	Konu	Söz sanatları	Anlatım	E
Arapça "edep" sözünden geliyor edebiyat... (parça) Bu paragrafın anlatımında aşağıdakilerin hangisi ağır basmaktadır?	Benzetme	Karşılaştırma	Tanık gösterme	Tanımlama	Örnekleme	D
Kimi yazarlar vardır; bildiğimiz, sıradan olayları ilk kez başkalarından farklı anlatırlar... (parça) Yukarıda sözü edilen yazarların anlatım özellikleri aşağıdakilerin hangisinde doğru verilmiştir?	Akıcılık, doğallık, özlülük	Özgünlük, özlülük, duruluk	Özlülük, açıklık, doğallık	Doğallık, özgünlük, akıcılık	Özgünlük, doğallık, özlülük	E
